Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ELEMENT FLEET MANAGEMENT,EFN.PR.A,116,22.45,210498,BH8B6Z0
BANK OF NOVA SCOTIA,EFN.PR.C,102,22.16,185659,BKJBDS2
ELEMENT FLEET MANAGEMENT,EFN.PR.E,99,21.07,181260,BNG5537
ELEMENT FINANCIAL CORP,EFN.PR.G,187,22.2,340559,BYN7TV9
ELEMENT FLEET MANAGEMENT,EFN.PR.I,108,19.53,197534,BF18V26
EMERA INC,EMA.PR.C,289,24,526102,B8C11K3
EMERA INC,EMA.PR.F,217,24.1,395138,BN7XPJ6
EMERA INC,EMA.PR.H,349,25.75,635651,BF2QB74
EMPIRE LIFE INSURANCE,EML.PR.A,110,26.18,200934,BZ0BY61
ENBRIDGE INC,ENB.PR.B,331,18.65,603240,B3Z1R85
ENBRIDGE INC,ENB.PR.D,507,19.62,923111,B6QDHS1
ENBRIDGE INC,ENB.PR.F,571,20.14,1039661,B7LRW13
ENBRIDGE INC,ENB.PR.H,404,18.51,735325,B7JD6M2
ENBRIDGE INC,ENB.PR.J,179,20.4,325417,BH75ZK1
ENBRIDGE INC,ENB.PR.N,507,20.61,924102,B85MGP3
ENBRIDGE INC,ENB.PR.P,318,20.14,578916,B7M93Q0
ENBRIDGE INC,ENB.PF.A,218,20.6,397675,BKRHF86
ENBRIDGE INC,ENB.PF.C,543,20.45,988996,BMQXL03
ENBRIDGE INC,ENB.PF.E,384,20.49,699627,BP8CZ52
ENBRIDGE INC,ENB.PF.G,301,20.52,548464,BQXZN48
ENBRIDGE INC,ENB.PF.I,561,25.51,1022238,BZCP5V3
ENBRIDGE INC,ENB.PF.K,578,24.31,1052910,BF3D3L2
ENBRIDGE INC,ENB.PR.T,318,20.1,578699,B92W460
ENBRIDGE INC,ENB.PR.Y,477,19.61,868604,BBG6C80
FAIRFAX FINL HLDGS LTD,FFH.PR.C,119,24.37,216834,B4VTND7
FAIRFAX FINL HLDGS LTD,FFH.PR.G,202,20.83,367111,B4T5218
FAIRFAX FINL HLDGS LTD,FFH.PR.I,283,21.85,516258,B4L9TL7
FAIRFAX FINL HLDGS LTD,FFH.PR.K,172,24.33,313636,B7KG5L2
FAIRFAX FINL HLDGS LTD,FFH.PR.M,249,25.24,453999,BW53GF4
FORTIS INC,FTS.PR.G,252,22,458966,B39HV43
FORTIS INC,FTS.PR.H,190,18.51,346371,B3LV5Y1
FORTIS INC,FTS.PR.K,198,21.73,361488,BCDL3D7
FORTIS INC,FTS.PR.M,477,23.77,868903,BPZ5LK1
GREAT-WEST LIFECO INC,GWO.PR.N,231,19.08,420590,B3X3MC2
HUSKY ENERGY INC,HSE.PR.A,192,17.96,350417,B3S36M5
HUSKY ENERGY INC,HSE.PR.C,198,25,361540,BTDFTY1
HUSKY ENERGY INC,HSE.PR.E,217,25.26,395123,BWBY7X6
HUSKY ENERGY INC,HSE.PR.G,163,25.34,296102,BYN5DF5
INDUSTRIAL ALLIANCE,IAG.PR.G,181,23.8,329789,B83Z0G3
INDUSTRIAL ALLIANCE,IAG.PR.I,169,25.39,308210,BDZTBJ8
INTACT FINANCIAL CORP,IFC.PR.A,181,19.9,330399,B3LDJC3
INTACT FINANCIAL CORP,IFC.PR.C,155,23.36,282059,B6QVBB6
BROOKFIELD INFRASTRUCTUR,IFC.PR.G,265,25,482169,BFXGBZ1
KINDER MORGAN CANADA LTD,KML.PR.A,217,25.35,396181,BF81RF3
KINDER MORGAN CANADA LTD,KML.PR.C,289,25.33,525876,BF4NJC4
LAURENTIAN BANK OF CDA,LB.PR.H,99,21.66,180973,BLBWHW2
LAURENTIAN BANK OF CDA,LB.PR.J,92,26.25,167588,BD9NPV6
MANULIFE FINANCIAL CORP,MFC.PR.F,117,19.14,213088,B637236
MANULIFE FINANCIAL CORP,MFC.PR.G,148,24.59,268833,B53QQ78
MANULIFE FINANCIAL CORP,MFC.PR.H,181,25.44,330336,B6RQHL2
MANULIFE FINANCIAL CORP,MFC.PR.I,181,25,329923,B6WDSD7
MANULIFE FINANCIAL CORP,MFC.PR.J,231,25.11,420333,B9B9FP8
MANULIFE FINANCIAL CORP,MFC.PR.K,231,23.06,421256,BBPCG10
MANULIFE FINANCIAL CORP,MFC.PR.L,159,22.91,289339,BK12DJ4
MANULIFE FINANCIAL CORP,MFC.PR.M,278,23.54,505880,BQ1RGB4
MANULIFE FINANCIAL CORP,MFC.PR.N,271,23.61,494002,BT784X0
MANULIFE FINANCIAL CORP,MFC.PR.O,314,26.46,572906,BYPYNN8
MANULIFE FINANCIAL CORP,MFC.PR.Q,289,24.89,526173,BF2FJ11
MANULIFE FINANCIAL CORP,MFC.PR.R,345,25.95,628561,BD8FXR5
NATIONAL BANK OF CANADA,NA.PR.A,296,26.1,538490,BD39X72
NATIONAL BANK OF CANADA,NA.PR.C,290,25.32,527717,BD07551
NATIONAL BANK OF CANADA,NA.PR.E,347,23.88,631273,BZ1CRS6
NATIONAL BANK OF CANADA,NA.PR.G,318,25.06,578407,BF4LBD3
NATIONAL BANK OF CANADA,NA.PR.S,278,23.27,506232,BJT1620
NATIONAL BANK OF CANADA,NA.PR.W,325,22.92,592938,BRJ6V71
NATIONAL BANK OF CANADA,NA.PR.X,296,26.33,538943,BD0XQY5
NORTHLAND POWER INC,NPI.PR.C,87,23.7,158142,B7B1107
PEMBINA PIPELINE CORP,PPL.PR.A,288,22,525539,BCJDWL8
PEMBINA PIPELINE CORP,PPL.PR.C,119,22.81,216387,BFCPVW6
PEMBINA PIPELINE CORP,PPL.PR.E,199,24.76,362075,BJ3KJD5
PEMBINA PIPELINE CORP,PPL.PR.G,198,24.1,361421,BQS82V2
PEMBINA PIPELINE CORP,PPL.PR.I,245,25.27,445451,BVYP803
PEMBINA PIPELINE CORP,PPL.PR.K,127,26.25,231576,BD1FYJ1
PEMBINA PIPELINE CORP,PPL.PR.M,185,26.35,336138,BDCTLG8
PEMBINA PIPELINE CORP,PPL.PR.O,145,23.5,263700,BD0P4H0
PEMBINA PIPELINE CORP,PPL.PF.A,463,25.5,842789,BD0RZN9
PEMBINA PIPELINE CORP,PPL.PR.Q,119,24.34,216182,BD89G23
PEMBINA PIPELINE CORP,PPL.PR.S,217,25.3,394652,BF0M2S2
POWER FINANCIAL CORP,PWF.PR.P,165,19.68,301371,B3X3DP2
POWER FINANCIAL CORP,PWF.PR.T,159,24.3,289468,BH6R7G8
ROYAL BANK OF CANADA,RY.PR.H,397,23.61,723791,BN60CS6
ROYAL BANK OF CANADA,RY.PR.I,269,25,490416,B3D4GJ0
ROYAL BANK OF CANADA,RY.PR.J,651,24.53,1186482,BVTZH56
ROYAL BK CANADA,RY.PR.L,239,25.08,434503,B3FBP36
ROYAL BK CANADA,RY.PR.M,326,24.55,593724,BWC6Q56
ROYAL BK CANADA,RY.PR.Q,536,26.26,976974,BD34MS1
ROYAL BANK OF CANADA,RY.PR.R,555,26.35,1010345,BZ78BH5
ROYAL BANK OF CANADA,RY.PR.Z,397,23.55,722457,BJ36RB7
SHAW COMMUNICATIONS INC,SJR.PR.A,184,18.47,336021,B4TJCP4
SUN LIFE FINANCIAL INC,SLF.PR.G,85,20.04,155655,B52BR71
SUN LIFE FINANCIAL INC,SLF.PR.H,127,22.07,232119,B3QNCK7
SUN LIFE FINANCIAL INC,SLF.PR.I,221,24.11,403285,B588709
TRANSALTA CORP,TA.PR.D,188,14.95,341945,B4YBKV7
TRANSALTA CORP,TA.PR.F,199,18.42,362461,B6Y1L74
TRANSALTA CORP,TA.PR.H,163,21.3,297176,B7JQDG4
TRANSALTA CORP,TA.PR.J,131,22.36,237924,BQ1RGD6
TORONTO-DOMINION BANK,TD.PF.A,397,23.56,723541,BN65TM4
TORONTO-DOMINION BANK,TD.PF.B,397,23.51,723571,BPQDQ32
TORONTO-DOMINION BANK,TD.PF.C,543,23.41,989441,BTGWJZ0
TORONTO-DOMINION BANK,TD.PF.D,380,24.55,692011,BVW6GQ0
TORONTO-DOMINION BANK,TD.PF.E,217,24.75,394982,BWZWYV3
TORONTO-DOMINION BANK,TD.PF.G,518,26.33,942900,BYVJ2L8
TORONTO-DOMINION BANK,TD.PF.H,739,25.96,1347071,BYT4K99
TORONTO-DOMINION BANK,TD.PF.I,254,25.44,461862,BF42H61
TORONTO-DOMINION BANK,TD.PF.J,404,25.39,736267,BG0V3J4
TORONTO-DOMINION BANK,TD.PR.S,155,24.98,282968,B39VNS3
TORONTO-DOMINION BANK,TD.PR.Y,159,25.04,289644,B3BQMQ7
TRANSCANADA CORP,TRP.PR.A,189,20.46,343689,B4TY4B9
TRANSCANADA CORP,TRP.PR.B,231,16.95,420663,B65KGD1
TRANSCANADA CORP,TRP.PR.C,235,17.61,428065,B3VYJK4
TRANSCANADA CORP,TRP.PR.D,477,22.65,868354,B8194G5
TRANSCANADA CORP,TRP.PR.E,357,22.53,649927,BJ4H8B6
TRANSCANADA CORP,TRP.PR.G,271,24.34,493306,BW3K0S8
TRANSCANADA CORP,TRP.PR.J,370,26.35,673848,BYPBW43
TRANSCANADA CORP,TRP.PR.K,742,25.74,1351507,BYQHWY0
VALENER INC,VNR.PR.A,72,24.85,131496,B8C28G1
WESTCOAST ENERGY INC,W.PR.K,85,26.13,154515,BZ05B62
WESTCOAST ENERGY INC,W.PR.M,221,25.85,403119,BYNWGM4

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZPW,JH279,BMO US PUT WRITE ETF,12366000,18.28155,-0.30702,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ABC US 08/17/18 P80,ABC US 08/17/18 P80,-3,1.4991,-440,ABC US 08/17/18 P80
ADBE US 08/17/18 P230,ADBE US 08/17/18 P230,-1,0.378,-155,ADBE US 08/17/18 P230
ALXN US 08/17/18 P125,ALXN US 08/17/18 P125,-2,1.8902,-280,ALXN US 08/17/18 P125
AMP US 08/17/18 P135,AMP US 08/17/18 P135,-2,1.0429,-265,AMP US 08/17/18 P135
APA US 07/27/18 P39.5,APA US 07/27/18 P39.5,-7,0.0652,-910,APA US 07/27/18 P39.5
TREASURY BILL B 06/20/19,B 06/20/19,1416158,1.2761,191000000,B 06/20/19
BBY US 07/27/18 P70.5,BBY US 07/27/18 P70.5,-4,0.0391,-500,BBY US 07/27/18 P70.5
BG US 08/17/18 P67.5,BG US 08/17/18 P67.5,-4,2.0206,-520,BG US 08/17/18 P67.5
BHC US 08/03/18 P21.5,BHC US 08/03/18 P21.5,-13,0.1434,-1750,BHC US 08/03/18 P21.5
CAT US 07/27/18 P130,CAT US 07/27/18 P130,-2,0.0521,-270,CAT US 07/27/18 P130
CC US 08/31/18 P41,CC US 08/31/18 P41,-6,0.6518,-860,CC US 08/31/18 P41
CLR US 08/03/18 P59.5,CLR US 08/03/18 P59.5,-5,1.1341,-610,CLR US 08/03/18 P59.5
CMI US 08/31/18 P127,CMI US 08/31/18 P127,-2,2.1509,-275,CMI US 08/31/18 P127
COG US 08/17/18 P22,COG US 08/17/18 P22,-12,0.2216,-1590,COG US 08/17/18 P22
CPB US 08/24/18 P38,CPB US 08/24/18 P38,-7,0.6518,-925,CPB US 08/24/18 P38
DISH US 08/03/18 P32,DISH US 08/03/18 P32,-7,3.2851,-1000,DISH US 08/03/18 P32
EXEL US 08/17/18 P19,EXEL US 08/17/18 P19,-14,0.3911,-1840,EXEL US 08/17/18 P19
GWW US 08/17/18 P280,GWW US 08/17/18 P280,-1,0.2607,-130,GWW US 08/17/18 P280
HLF US 07/27/18 P50.5,HLF US 07/27/18 P50.5,-5,0.0521,-700,HLF US 07/27/18 P50.5
INTC US 08/17/18 P47,INTC US 08/17/18 P47,-6,0.352,-745,INTC US 08/17/18 P47
JWN US 08/17/18 P50,JWN US 08/17/18 P50,-5,1.2384,-700,JWN US 08/17/18 P50
KSS US 08/17/18 P67.5,KSS US 08/17/18 P67.5,-4,0.9386,-520,KSS US 08/17/18 P67.5
LPLA US 08/17/18 P65,LPLA US 08/17/18 P65,-4,1.4991,-540,LPLA US 08/17/18 P65
LULU US 08/24/18 P119,LULU US 08/24/18 P119,-2,2.2292,-275,LULU US 08/24/18 P119
M US 08/31/18 P33,M US 08/31/18 P33,-8,0.5866,-1060,M US 08/31/18 P33
MAC US 08/17/18 P52.5,MAC US 08/17/18 P52.5,-5,0.4237,-665,MAC US 08/17/18 P52.5
MELI US 08/17/18 P300,MELI US 08/17/18 P300,-1,4.1194,-120,MELI US 08/17/18 P300
MNST US 08/31/18 P56.5,MNST US 08/31/18 P56.5,-5,0.7496,-620,MNST US 08/31/18 P56.5
MOS US 07/27/18 P26.5,MOS US 07/27/18 P26.5,-10,0.0391,-1320,MOS US 07/27/18 P26.5
MYL US 07/27/18 P35.5,MYL US 07/27/18 P35.5,-7,0.0717,-985,MYL US 07/27/18 P35.5
NFX US 08/17/18 P26,NFX US 08/17/18 P26,-10,0.8473,-1345,NFX US 08/17/18 P26
NRG US 08/31/18 P29.5,NRG US 08/31/18 P29.5,-9,0.7822,-1190,NRG US 08/31/18 P29.5
NSC US 08/24/18 P149,NSC US 08/24/18 P149,-2,0.4563,-225,NSC US 08/24/18 P149
OLN US 08/31/18 P26,OLN US 08/31/18 P26,-10,0.4563,-1350,OLN US 08/31/18 P26
PCG US 08/31/18 P36,PCG US 08/31/18 P36,-7,0.5866,-975,PCG US 08/31/18 P36
PE US 09/21/18 P27.5,PE US 09/21/18 P27.5,-9,0.5866,-1275,PE US 09/21/18 P27.5
PRGO US 08/17/18 P70,PRGO US 08/17/18 P70,-4,0.8473,-500,PRGO US 08/17/18 P70
PYPL US 08/31/18 P84.5,PYPL US 08/31/18 P84.5,-3,1.3557,-420,PYPL US 08/31/18 P84.5
RMD US 08/17/18 P100,RMD US 08/17/18 P100,-3,1.7599,-350,RMD US 08/17/18 P100
SC US 08/17/18 P17,SC US 08/17/18 P17,-15,0.2281,-2060,SC US 08/17/18 P17
SIVB US 08/17/18 P280,SIVB US 08/17/18 P280,-1,4.0412,-130,SIVB US 08/17/18 P280
SJM US 08/17/18 P100,SJM US 08/17/18 P100,-3,0.717,-350,SJM US 08/17/18 P100
STX US 08/17/18 P50,STX US 08/17/18 P50,-5,1.1081,-700,STX US 08/17/18 P50
SYF US 08/31/18 P31,SYF US 08/31/18 P31,-8,0.6518,-1130,SYF US 08/31/18 P31
SYMC US 08/17/18 P19,SYMC US 08/17/18 P19,-14,0.352,-1840,SYMC US 08/17/18 P19
TGT US 08/17/18 P72.5,TGT US 08/17/18 P72.5,-3,0.2607,-450,TGT US 08/17/18 P72.5
TRN US 08/31/18 P34,TRN US 08/31/18 P34,-8,0.554,-1030,TRN US 08/31/18 P34
TSN US 08/31/18 P60,TSN US 08/31/18 P60,-4,1.5643,-600,TSN US 08/31/18 P60
TWTR US 08/24/18 P36.5,TWTR US 08/24/18 P36.5,-7,0.8082,-960,TWTR US 08/24/18 P36.5
UA US 07/27/18 P18,UA US 07/27/18 P18,-13,0.7039,-1750,UA US 07/27/18 P18
US Dollar,US Dollar,40222,1.3036,5424795,US Dollar
VOYA US 08/17/18 P46,VOYA US 08/17/18 P46,-6,0.3585,-760,VOYA US 08/17/18 P46
WLK US 08/17/18 P100,WLK US 08/17/18 P100,-3,2.1379,-350,WLK US 08/17/18 P100
Z US 08/31/18 P55.5,Z US 08/31/18 P55.5,-5,1.3362,-630,Z US 08/31/18 P55.5

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZPW.U,JH279.U,BMO US PUT WRITE ETF,900000,18.68487,-0.09643,0,1.30355,0.65,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
ABC US 08/17/18 P80,ABC US 08/17/18 P80,-4,1.15,-440,ABC US 08/17/18 P80
ADBE US 08/17/18 P230,ADBE US 08/17/18 P230,-2,0.29,-155,ADBE US 08/17/18 P230
ALXN US 08/17/18 P125,ALXN US 08/17/18 P125,-3,1.45,-280,ALXN US 08/17/18 P125
AMP US 08/17/18 P135,AMP US 08/17/18 P135,-3,0.8,-265,AMP US 08/17/18 P135
APA US 07/27/18 P39.5,APA US 07/27/18 P39.5,-9,0.05,-910,APA US 07/27/18 P39.5
TREASURY BILL B 06/20/19,B 06/20/19,1886100,0.9789,191000000,B 06/20/19
BBY US 07/27/18 P70.5,BBY US 07/27/18 P70.5,-5,0.03,-500,BBY US 07/27/18 P70.5
BG US 08/17/18 P67.5,BG US 08/17/18 P67.5,-5,1.55,-520,BG US 08/17/18 P67.5
BHC US 08/03/18 P21.5,BHC US 08/03/18 P21.5,-17,0.11,-1750,BHC US 08/03/18 P21.5
CAT US 07/27/18 P130,CAT US 07/27/18 P130,-3,0.04,-270,CAT US 07/27/18 P130
CC US 08/31/18 P41,CC US 08/31/18 P41,-8,0.5,-860,CC US 08/31/18 P41
CLR US 08/03/18 P59.5,CLR US 08/03/18 P59.5,-6,0.87,-610,CLR US 08/03/18 P59.5
CMI US 08/31/18 P127,CMI US 08/31/18 P127,-3,1.65,-275,CMI US 08/31/18 P127
COG US 08/17/18 P22,COG US 08/17/18 P22,-16,0.17,-1590,COG US 08/17/18 P22
CPB US 08/24/18 P38,CPB US 08/24/18 P38,-9,0.5,-925,CPB US 08/24/18 P38
DISH US 08/03/18 P32,DISH US 08/03/18 P32,-10,2.52,-1000,DISH US 08/03/18 P32
EXEL US 08/17/18 P19,EXEL US 08/17/18 P19,-18,0.3,-1840,EXEL US 08/17/18 P19
GWW US 08/17/18 P280,GWW US 08/17/18 P280,-1,0.2,-130,GWW US 08/17/18 P280
HLF US 07/27/18 P50.5,HLF US 07/27/18 P50.5,-7,0.04,-700,HLF US 07/27/18 P50.5
INTC US 08/17/18 P47,INTC US 08/17/18 P47,-7,0.27,-745,INTC US 08/17/18 P47
JWN US 08/17/18 P50,JWN US 08/17/18 P50,-7,0.95,-700,JWN US 08/17/18 P50
KSS US 08/17/18 P67.5,KSS US 08/17/18 P67.5,-5,0.72,-520,KSS US 08/17/18 P67.5
LPLA US 08/17/18 P65,LPLA US 08/17/18 P65,-5,1.15,-540,LPLA US 08/17/18 P65
LULU US 08/24/18 P119,LULU US 08/24/18 P119,-3,1.71,-275,LULU US 08/24/18 P119
M US 08/31/18 P33,M US 08/31/18 P33,-10,0.45,-1060,M US 08/31/18 P33
MAC US 08/17/18 P52.5,MAC US 08/17/18 P52.5,-7,0.325,-665,MAC US 08/17/18 P52.5
MELI US 08/17/18 P300,MELI US 08/17/18 P300,-1,3.16,-120,MELI US 08/17/18 P300
MNST US 08/31/18 P56.5,MNST US 08/31/18 P56.5,-6,0.575,-620,MNST US 08/31/18 P56.5
MOS US 07/27/18 P26.5,MOS US 07/27/18 P26.5,-13,0.03,-1320,MOS US 07/27/18 P26.5
MYL US 07/27/18 P35.5,MYL US 07/27/18 P35.5,-10,0.055,-985,MYL US 07/27/18 P35.5
NFX US 08/17/18 P26,NFX US 08/17/18 P26,-13,0.65,-1345,NFX US 08/17/18 P26
NRG US 08/31/18 P29.5,NRG US 08/31/18 P29.5,-12,0.6,-1190,NRG US 08/31/18 P29.5
NSC US 08/24/18 P149,NSC US 08/24/18 P149,-2,0.35,-225,NSC US 08/24/18 P149
OLN US 08/31/18 P26,OLN US 08/31/18 P26,-13,0.35,-1350,OLN US 08/31/18 P26
PCG US 08/31/18 P36,PCG US 08/31/18 P36,-10,0.45,-975,PCG US 08/31/18 P36
PE US 09/21/18 P27.5,PE US 09/21/18 P27.5,-13,0.45,-1275,PE US 09/21/18 P27.5
PRGO US 08/17/18 P70,PRGO US 08/17/18 P70,-5,0.65,-500,PRGO US 08/17/18 P70
PYPL US 08/31/18 P84.5,PYPL US 08/31/18 P84.5,-4,1.04,-420,PYPL US 08/31/18 P84.5
RMD US 08/17/18 P100,RMD US 08/17/18 P100,-3,1.35,-350,RMD US 08/17/18 P100
SC US 08/17/18 P17,SC US 08/17/18 P17,-20,0.175,-2060,SC US 08/17/18 P17
SIVB US 08/17/18 P280,SIVB US 08/17/18 P280,-1,3.1,-130,SIVB US 08/17/18 P280
SJM US 08/17/18 P100,SJM US 08/17/18 P100,-3,0.55,-350,SJM US 08/17/18 P100
STX US 08/17/18 P50,STX US 08/17/18 P50,-7,0.85,-700,STX US 08/17/18 P50
SYF US 08/31/18 P31,SYF US 08/31/18 P31,-11,0.5,-1130,SYF US 08/31/18 P31
SYMC US 08/17/18 P19,SYMC US 08/17/18 P19,-18,0.27,-1840,SYMC US 08/17/18 P19
TGT US 08/17/18 P72.5,TGT US 08/17/18 P72.5,-4,0.2,-450,TGT US 08/17/18 P72.5
TRN US 08/31/18 P34,TRN US 08/31/18 P34,-10,0.425,-1030,TRN US 08/31/18 P34
TSN US 08/31/18 P60,TSN US 08/31/18 P60,-6,1.2,-600,TSN US 08/31/18 P60
TWTR US 08/24/18 P36.5,TWTR US 08/24/18 P36.5,-9,0.62,-960,TWTR US 08/24/18 P36.5
UA US 07/27/18 P18,UA US 07/27/18 P18,-17,0.54,-1750,UA US 07/27/18 P18
US Dollar,US Dollar,53569,1,5424795,US Dollar
VOYA US 08/17/18 P46,VOYA US 08/17/18 P46,-8,0.275,-760,VOYA US 08/17/18 P46
WLK US 08/17/18 P100,WLK US 08/17/18 P100,-3,1.64,-350,WLK US 08/17/18 P100
Z US 08/31/18 P55.5,Z US 08/31/18 P55.5,-6,1.025,-630,Z US 08/31/18 P55.5

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZQQ,JH225,BMO NASDAQ 100 EQUITY HEDGED TO CAD INDEX ETF,12728560,56.93702,0.46374,0,1.30355,0.35,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CA INC,CA US,208,57.42,26484,2214832
ALPHABET INC,GOOG US,175,1647.30,22219,BYY88Y7
PAYCHEX INC,PAYX US,180,93.86,22886,2674458
ASML HOLDING NV,ASML US,37,285.44,4726,B908F01
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH US,292,107.99,37227,2257019
WALGREENS BOOTS ALLIANCE INC,WBA US,496,86.95,63078,BTN1Y44
LIBERTY GLOBAL PLC,LBTYK US,285,34.39,36280,B8W67B1
SYMANTEC CORP,SYMC US,310,26.97,39501,2861078
BAIDU INC,BIDU US,140,342.72,17814,B0FXT17
DOLLAR TREE INC,DLTR US,119,116.54,15136,2272476
DENTSPLY SIRONA INC,XRAY US,114,60.99,14492,BYNPPC6
XILINX INC,XLNX US,126,88.60,16097,2985677
HENRY SCHEIN INC,HSIC US,77,100.56,9828,2416962
SEAGATE TECHNOLOGY PLC,STX US,143,73.57,18247,B58JVZ5
EXPRESS SCRIPTS HOLDING CO,ESRX US,281,102.65,35763,B7QQYV9
AUTOMATIC DATA PROCESSING INC,ADP US,220,181.39,27979,2065308
APPLIED MATERIALS INC,AMAT US,504,59.91,64141,2046552
ULTA BEAUTY INC,ULTA US,30,330.31,3870,B28TS42
PACCAR INC,PCAR US,176,83.65,22361,2665861
TAKE-TWO INTERACTIVE SOFTWARE INC,TTWO US,57,166.65,7277,2122117
EBAY INC,EBAY US,497,44.18,63272,2293819
21ST CENTURY FOX,FOX US,399,58.49,50758,BBM4S80
WESTERN DIGITAL CORP,WDC US,150,98.59,19084,2954699
MICRON TECHNOLOGY INC,MU US,579,69.60,73757,2588184
NETFLIX INC,NFLX US,217,473.02,27667,2857817
PEPSICO INC,PEP US,709,150.18,90191,2681511
TEXAS INSTRUMENTS INC,TXN US,489,147.59,62222,2885409
MERCADOLIBRE INC,MELI US,22,475.78,2788,B23X1H3
COMCAST CORP,CMCSA US,2295,43.56,292160,2044545
BIOMARIN PHARMACEUTICAL INC,BMRN US,88,133.20,11264,2437071
INTUIT INC,INTU US,128,283.20,16290,2459020
ACTIVISION BLIZZARD INC,ATVI US,380,103.57,48429,2575818
LAM RESEARCH CORP,LRCX US,82,225.25,10415,2502247
INTEL CORP,INTC US,2329,68.35,296420,2463247
CELGENE CORP,CELG US,362,114.28,46075,2182348
QURATE RETAIL INC,QRTEA US,220,27.91,27979,BZ19HB0
CERNER CORP,CERN US,166,79.58,21088,2185284
21ST CENTURY FOX,FOXA US,526,58.91,67007,BBM4S68
NVIDIA CORP,NVDA US,304,328.33,38647,2379504
VERISK ANALYTICS INC,VRSK US,83,149.23,10553,B4P9W92
INCYTE CORP,INCY US,106,91.38,13508,2471950
WYNN RESORTS LTD,WYNN US,54,216.13,6899,2963811
VODAFONE GROUP PLC,VOD US,237,30.63,30165,BK019T4
HASBRO INC,HAS US,63,132.53,7983,2414580
MAXIM INTEGRATED PRODUCTS INC,MXIM US,140,76.65,17816,2573760
LIBERTY GLOBAL PLC,LBTYA US,108,35.76,13810,B8W6766
CISCO SYSTEMS INC,CSCO US,2350,56.26,299168,2198163
HOLOGIC INC,HOLX US,137,54.75,17409,2433530
CSX CORP,CSX US,438,92.49,55695,2160753
SHIRE PLC,SHPG US,34,224.69,4369,B39JBM7
ELECTRONIC ARTS INC,EA US,153,190.97,19478,2310194
FACEBOOK INC,FB US,1199,283.52,152552,B7TL820
ROSS STORES INC,ROST US,189,114.01,24097,2746711
SYNOPSYS INC,SNPS US,75,121.44,9518,2867719
TESLA INC,TSLA US,85,402.46,10789,B616C79
MICROSOFT CORP,MSFT US,3840,144.47,488739,2588173
BOOKING HOLDINGS INC,BKNG US,24,2692.73,3086,BDRXDB4
APPLE INC,AAPL US,2456,253.96,312639,2046251
ANALOG DEVICES INC,ADI US,185,125.86,23587,2032067
J B HUNT TRANSPORT SERVICES INC,JBHT US,55,154.97,6975,2445416
CITRIX SYSTEMS INC,CTXS US,67,142.40,8582,2182553
AMAZON.COM INC,AMZN US,243,2429.31,30875,2000019
IDEXX LABORATORIES INC,IDXX US,43,327.36,5496,2459202
MICROCHIP TECHNOLOGY INC,MCHP US,118,121.14,14962,2592174
COSTCO WHOLESALE CORP,COST US,219,287.69,27907,2701271
FASTENAL CO,FAST US,143,74.98,18260,2332262
BIOGEN INC,BIIB US,105,500.34,13402,2455965
AUTODESK INC,ADSK US,110,177.09,13973,2065159
ADOBE SYSTEMS INC,ADBE US,246,343.06,31318,2008154
FISERV INC,FISV US,205,101.17,26048,2342034
STARBUCKS CORP,SBUX US,689,67.29,87763,2842255
MONDELEZ INTERNATIONAL INC,MDLZ US,737,54.10,93818,B8CKK03
CHARTER COMMUNICATIONS INC,CHTR US,119,358.02,15126,BZ6VT82
WORKDAY INC,WDAY US,73,174.25,9344,B8K6ZD1
QUALCOMM INC,QCOM US,741,77.46,94273,2714923
KLA-TENCOR CORP,KLAC US,78,136.14,9928,2480138
NETEASE INC,NTES US,39,352.43,4904,2606440
CHECK POINT SOFTWARE TECHNOLOGIES LTD,CHKP US,79,152.27,10075,2181334
ILLUMINA INC,ILMN US,74,411.70,9393,2613990
CINTAS CORP,CTAS US,54,272.77,6820,2197137
BROADCOM INC,AVGO US,206,294.56,26169,BDZ78H9
ALIGN TECHNOLOGY INC,ALGN US,40,497.66,5122,2679204
AMERICAN AIRLINES GROUP,AAL US,234,49.78,29746,BCV7KT2
